Brett Hundley,40,837,1241,67.4,9966,75,25,150.8
Ryan Griffin,42,836,1396,59.9,9026,56,35,122.4
Carson Strong,31,836,1230,68,9091,70,19,145.7
Brad Smith,48,835,1484,56.3,8799,56,33,114.1
Chase Clement,44,832,1387,60,9785,99,34,137.9
P.J. Walker,49,830,1458,56.9,10668,74,44,129.1
Trevone Boykin,48,829,1355,61.2,10727,86,37,143.2
Eli Manning,43,829,1363,60.8,10119,81,35,137.7
Chad Henne,47,828,1387,59.7,9715,87,37,133.9
Justin Herbert,43,827,1293,64,10541,95,23,153.1
Steven Montez,45,824,1321,62.4,9710,63,33,134.9
Tanner Price,48,824,1451,56.8,8899,52,31,115.9
Joe Licata,45,823,1359,60.6,9485,76,37,132.2
Bret Meyer,48,820,1414,58,9499,50,41,120.3
Seth Doege,29,819,1187,69,8636,69,26,144.9
Charlie Whitehurst,44,817,1368,59.7,9665,49,46,124.2
Deshaun Watson,38,814,1207,67.4,10168,90,32,157.5
Andy Dalton,50,812,1317,61.7,10314,71,30,140.7
Paul Smith,46,808,1292,62.5,10924,83,35,149.3
Danny Wimprine,46,808,1469,55,10215,81,49,124.9
Matt Leinart,39,807,1245,64.8,10693,99,23,159.5
Alex McGough,46,807,1335,60.4,9091,65,37,128.2
Matt Ryan,40,807,1346,60,9313,56,37,126.3
Peyton Ramsey,40,805,1234,65.2,8314,54,31,131.2
Kellen Mond,46,801,1358,59,9661,71,27,132
Robert Griffin III,41,800,1192,67.1,10366,78,17,158.9
Rudy Carpenter,47,799,1309,61,10491,81,35,143.4
Steven Jyles,45,795,1473,54,8987,55,43,111.7
T.J. Yates,45,795,1277,62.3,9377,58,46,131.7
Brady White,41,794,1282,61.9,10949,92,31,152.5
Holton Ahlers,41,792,1349,58.7,10000,68,31,133
Cody Pickett,37,792,1369,57.9,9916,53,41,125.5
Bryant Moniz,34,791,1271,62.2,10169,75,30,144.2
Ryan Nassib,46,791,1312,60.3,9190,70,28,132.5
Ryan Radcliff,42,791,1347,58.7,9922,65,44,130
Andre Woodson,44,791,1278,61.9,9360,79,25,139.9
Dominique Davis,31,790,1241,63.7,7933,68,39,129.2
Tyler Jones,43,789,1260,62.6,8501,55,36,128
Justice Hansen,38,788,1261,62.5,10133,83,33,146.5
Dan Orlovsky,36,788,1298,60.7,9327,75,40,134
Eric Dungey,39,786,1279,61.5,9340,58,30,133.1
Willie Tuitama,40,786,1276,61.6,9211,67,31,134.7
Ben Hicks,44,783,1403,55.8,9819,73,36,126.6
Teddy Bridgewater,39,781,1142,68.4,9817,72,24,157.2
Brian Brohm,44,780,1185,65.8,10775,71,24,157.9
Nathan Enderle,45,779,1427,54.6,10084,74,60,122.7
Marcus Mariota,41,779,1167,66.8,10796,105,14,171.8
Andrew Walter,45,777,1416,54.9,10617,85,36,132.6
Casey Clausen,45,775,1270,61,9707,75,31,139.8
Nathan Scheelhaase,48,775,1231,63,8568,55,37,130.2
J.T. Barrett,50,769,1211,63.5,9434,104,30,152.3
Alex Carder,37,769,1215,63.3,8886,74,36,138.9
Derek Anderson,43,768,1515,50.7,11249,79,57,122.7
Kenny Hill,38,768,1183,64.9,9192,64,29,143.1
Rusty Smith,43,768,1361,56.4,10112,76,36,132
Casey Bramlet,40,767,1378,55.7,9684,56,48,121.1
Bruce Gradkowski,40,766,1123,68.2,9225,85,27,157.4
Brandon Weeden,30,766,1102,69.5,9260,75,27,157.7
Desmond Ridder,47,765,1227,62.3,9604,82,26,145.9
Daniel Jones,36,764,1275,59.9,8201,52,29,122.9
Gardner Minshew,30,761,1168,65.2,8266,62,20,138.7
John Wolford,47,761,1275,59.7,8794,59,41,126.5
J'mar Smith,43,759,1280,59.3,9523,51,21,131.7
Logan Woodside,43,759,1166,65.1,10514,93,25,162.9
Trevor Lawrence,40,758,1138,66.6,10098,90,17,164.3
Paxton Lynch,38,758,1205,62.9,8863,59,23,137
Keith Price,43,757,1183,64,8921,75,30,143.2
Caleb Evans,42,756,1251,60.4,9520,58,34,134.2
Taylor Lamb,51,751,1237,60.7,9763,90,32,145.8
Brett Smith,35,751,1212,62,8834,76,28,139.3
Drew Plitt,44,750,1200,62.5,8768,67,29,137.5
Kyle Orton,42,748,1262,59.3,8918,61,24,130.8
Bo Wallace,39,747,1186,63,9534,62,41,140.8
Greg Ward,49,746,1106,67.5,8704,52,26,144.4
John Navarre,43,744,1327,56.1,9014,70,30,126
Carson Palmer,36,743,1255,59.2,9423,62,40,132.2
Brogan Roback,45,743,1282,58,8624,57,38,123.2
Colin Kaepernick,51,740,1271,58.2,10098,82,24,142.5
Tino Sunseri,43,736,1141,64.5,8590,49,23,137.9
Ryan Hart,38,735,1217,60.4,8482,52,52,124.5
Dak Prescott,49,734,1169,62.8,9376,70,23,146
Erik Ainge,43,733,1210,60.6,8700,72,35,134.8
Taylor Potts,34,733,1106,66.3,7835,62,25,139.8
Spencer Keith,48,732,1316,55.6,8062,45,40,112.3
G.J. Kinne,38,732,1195,61.3,9472,81,32,144.8
Tyler Tettleton,46,732,1174,62.4,9129,67,28,141.7
