Name,Receptions,Receiving Yards,Receiving TD,Overall
Odell Beckham Jr.,102,1865,10,12
Brandin Cooks,195,2881,21,20
Kelvin Benjamin,84,1506,19,28
Marqise Lee,175,2512,18,39
Jordan Matthews,206,2800,15,42
Paul Richardson,83,1343,10,45
Davante Adams,233,3030,38,53
Cody Latimer,123,1901,15,56
Allen Robinson,174,2450,17,61
Jarvis Landry,133,1766,15,63
Josh Huff,94,1633,19,86
Donte Moncrief,125,1917,16,90
Jalen Saunders,123,1558,11,104
Bruce Ellington,89,1375,15,106
Shaq Evans,107,1586,12,115
Martavis Bryant,52,1133,11,118
Kevin Norwood,67,1029,11,123
Ryan Grant,153,2188,15,142
Devin Street,124,1829,12,146
Jared Abbrederis,127,1918,12,176
Robert Herron,103,1594,17,185
TJ Jones,120,1757,13,189
Quincy Enunwa,93,1223,13,209
Michael Campanaro,146,1566,12,218
James Wright,18,242,0,239
Tevin Reese,91,1824,17,240
Jeremy Gallon,138,2202,13,244
Amari Cooper,169,2463,20,4
Kevin White,144,1954,15,7
DeVante Parker,98,1740,17,14
Nelson Agholor,160,2231,18,20
Breshad Perriman,89,1855,13,26
Phillip Dorsett,49,1143,12,29
Devin Smith,77,1591,20,37
Dorial Green-Beckham,59,883,12,40
Devin Funchess,111,1481,10,41
Tyler Lockett,187,2777,22,69
Jaelen Strong,157,2287,17,70
Chris Conley,81,1308,12,76
Sammie Coates,76,1643,11,87
Ty Montgomery,122,1562,13,94
Jamison Crowder,193,2404,14,105
Justin Hardy,235,2778,18,107
Vince Mayle,148,2022,16,123
DeAndre Smelter,56,1060,11,132
Stefon Diggs,96,1379,8,146
Tony Lippett,109,1811,13,156
J.J. Nelson,77,1501,12,159
Kenny Bell,99,1365,10,162
Keith Mumphery,44,794,6,175
Kaelin Clay,43,523,4,184
Geremy Davis,115,1606,6,186
Evan Spencer,37,365,6,187
Bud Sasser,103,1364,13,201
Darren Waller,43,809,9,204
Andre Debose,1,-3,0,221
Da'Ron Brown,114,1817,15,233
Mario Alford,92,1497,13,238
Corey Coleman,138,2482,31,15
Josh Doctson,144,2345,25,22
Laquon Treadwell,130,1785,16,23
Sterling Shepard,137,2258,16,40
Michael Thomas,110,1580,18,47
Tyler Boyd,169,2187,14,55
Braxton Miller,26,341,3,85
Leonte Carroo,94,1895,20,86
Chris Moore,70,1543,15,107
Malcolm Mitchell,89,1113,8,112
Ricardo Louis,67,977,6,114
Pharoh Cooper,135,2109,17,117
Demarcus Robinson,101,1332,9,126
Tajae Sharpe,196,2600,12,140
Jordan Payton,145,2060,12,154
Trevor Davis,64,1071,7,163
Rashard Higgins,171,2812,25,172
Keenan Reynolds,1,47,0,182
Jakeem Grant,157,2206,17,186
Kolby Listenbee,71,1350,9,192
Cody Core,78,1202,10,199
Michael Thomas,112,1983,19,206
Aaron Burbridge,114,1616,8,213
Devin Lucien,66,1074,8,225
Demarcus Ayers,131,1557,8,229
Daniel Braverman,194,2364,19,230
Thomas Duarte,81,1412,14,231
Charone Peake,62,845,7,241
Kenny Lawler,106,1359,22,243
